Rainfall,Year,Month
10.8762,1901,Jan
28.5686,1901,Feb
63.6138,1901,Mar
93.4658,1901,Apr
54.3036,1901,May
129.197,1901,Jun
117.475,1901,Jul
184.691,1901,Aug
80.2316,1901,Sep
53.1731,1901,Oct
16.2038,1901,Nov
16.8135,1901,Dec
2.2677,1902,Jan
23.1086,1902,Feb
26.01,1902,Mar
90.9432,1902,Apr
75.1245,1902,May
74.9354,1902,Jun
102.857,1902,Jul
73.1808,1902,Aug
82.3993,1902,Sep
57.9302,1902,Oct
41.0751,1902,Nov
36.8339,1902,Dec
20.2287,1903,Jan
13.0572,1903,Feb
45.7573,1903,Mar
78.3576,1903,Apr
235.537,1903,May
92.0847,1903,Jun
131.592,1903,Jul
111.719,1903,Aug
176.039,1903,Sep
71.13,1903,Oct
24.6782,1903,Nov
19.2577,1903,Dec
1.69191,1904,Jan
10.5972,1904,Feb
71.0562,1904,Mar
50.2604,1904,Apr
72.861,1904,May
64.7272,1904,Jun
126.629,1904,Jul
131.613,1904,Aug
142.601,1904,Sep
49.5354,1904,Oct
36.6046,1904,Nov
4.82906,1904,Dec
3.79272,1905,Jan
10.6544,1905,Feb
40.3335,1905,Mar
96.4941,1905,Apr
77.6602,1905,May
66.8003,1905,Jun
135.901,1905,Jul
135.437,1905,Aug
163.829,1905,Sep
42.3473,1905,Oct
96.052,1905,Nov
3.40492,1905,Dec
11.217,1906,Jan
58.3436,1906,Feb
107.176,1906,Mar
83.7976,1906,Apr
74.4701,1906,May
83.3268,1906,Jun
145.445,1906,Jul
155.542,1906,Aug
81.9397,1906,Sep
52.6761,1906,Oct
67.2937,1906,Nov
2.16554,1906,Dec
2.6401,1907,Jan
19.5504,1907,Feb
18.4418,1907,Mar
118.982,1907,Apr
80.7596,1907,May
52.4911,1907,Jun
120.859,1907,Jul
136.546,1907,Aug
98.0345,1907,Sep
58.399,1907,Oct
115.236,1907,Nov
10.4397,1907,Dec
21.1277,1908,Jan
9.59059,1908,Feb
24.7247,1908,Mar
84.2809,1908,Apr
46.9392,1908,May
55.001,1908,Jun
140.922,1908,Jul
161.19,1908,Aug
113.83,1908,Sep
86.2931,1908,Oct
