Temperature,Year,Month
12.3533,1901,Jan
17.1485,1901,Feb
19.8166,1901,Mar
22.471,1901,Apr
24.7663,1901,May
28.201,1901,Jun
29.0262,1901,Jul
28.904,1901,Aug
26.6434,1901,Sep
24.1158,1901,Oct
18.1341,1901,Nov
14.9177,1901,Dec
12.1107,1902,Jan
16.6325,1902,Feb
16.9514,1902,Mar
21.7018,1902,Apr
25.5515,1902,May
27.032,1902,Jun
27.9714,1902,Jul
28.4227,1902,Aug
27.1584,1902,Sep
24.0858,1902,Oct
17.5741,1902,Nov
12.9458,1902,Dec
11.0177,1903,Jan
12.2229,1903,Feb
15.3777,1903,Mar
21.5116,1903,Apr
25.7116,1903,May
27.0873,1903,Jun
27.2743,1903,Jul
28.062,1903,Aug
25.0039,1903,Sep
22.2827,1903,Oct
16.9796,1903,Nov
14.2766,1903,Dec
12.2636,1904,Jan
15.0843,1904,Feb
17.5012,1904,Mar
20.7075,1904,Apr
24.5914,1904,May
27.1914,1904,Jun
28.1154,1904,Jul
28.3813,1904,Aug
26.2553,1904,Sep
24.7275,1904,Oct
16.8429,1904,Nov
12.3855,1904,Dec
11.2089,1905,Jan
11.7992,1905,Feb
15.7367,1905,Mar
21.4942,1905,Apr
26.15,1905,May
28.4093,1905,Jun
29.2932,1905,Jul
29.0023,1905,Aug
27.4535,1905,Sep
25.3854,1905,Oct
20.3796,1905,Nov
13.2215,1905,Dec
12.5209,1906,Jan
14.6939,1906,Feb
17.9886,1906,Mar
22.191,1906,Apr
25.6886,1906,May
29.0814,1906,Jun
29.2241,1906,Jul
29.2252,1906,Aug
26.2435,1906,Sep
24.3804,1906,Oct
19.2409,1906,Nov
15.7863,1906,Dec
13.2829,1907,Jan
14.761,1907,Feb
15.5597,1907,Mar
21.0388,1907,Apr
25.6331,1907,May
28.0096,1907,Jun
28.5905,1907,Jul
28.7888,1907,Aug
26.2637,1907,Sep
23.6037,1907,Oct
17.8171,1907,Nov
14.642,1907,Dec
13.1586,1908,Jan
14.5898,1908,Feb
18.0486,1908,Mar
22.4673,1908,Apr
26.3738,1908,May
28.3599,1908,Jun
28.2574,1908,Jul
28.3816,1908,Aug
26.6153,1908,Sep
24.3179,1908,Oct
17.8122,1908,Nov
13.0007,1908,Dec
12.7792,1909,Jan
14.8735,1909,Feb
19.8717,1909,Mar
20.6977,1909,Apr
28.4143,1909,May
29.3039,1909,Jun
29.6605,1909,Jul
29.6262,1909,Aug
27.6464,1909,Sep
24.6592,1909,Oct
19.9022,1909,Nov
16.0063,1909,Dec
12.5416,1910,Jan
15.0373,1910,Feb
15.1146,1910,Mar
23.2313,1910,Apr
26.2978,1910,May
28.0972,1910,Jun
29.1814,1910,Jul
29.2998,1910,Aug
27.2399,1910,Sep
22.9646,1910,Oct
18.0325,1910,Nov
13.3426,1910,Dec
12.7327,1911,Jan
12.6407,1911,Feb
16.762,1911,Mar
21.5787,1911,Apr
26.1835,1911,May
27.9954,1911,Jun
28.8292,1911,Jul
28.7177,1911,Aug
26.4646,1911,Sep
24.2987,1911,Oct
19.1851,1911,Nov
14.2986,1911,Dec
12.3716,1912,Jan
15.5549,1912,Feb
17.6056,1912,Mar
21.807,1912,Apr
25.0133,1912,May
27.6976,1912,Jun
28.185,1912,Jul
28.0611,1912,Aug
26.7744,1912,Sep
24.0685,1912,Oct
18.7713,1912,Nov
13.7335,1912,Dec
12.951,1913,Jan
13.9327,1913,Feb
16.2538,1913,Mar
22.4346,1913,Apr
24.826,1913,May
27.1232,1913,Jun
28.5365,1913,Jul
28.4494,1913,Aug
27.4476,1913,Sep
24.2982,1913,Oct
17.6514,1913,Nov
13.2696,1913,Dec
13.2641,1914,Jan
14.6516,1914,Feb
19.0564,1914,Mar
19.9775,1914,Apr
26.409,1914,May
28.6942,1914,Jun
28.8734,1914,Jul
29.7182,1914,Aug
27.0452,1914,Sep
23.6504,1914,Oct
19.5934,1914,Nov
14.9206,1914,Dec
15.2695,1915,Jan
16.574,1915,Feb
18.6893,1915,Mar
22.1405,1915,Apr
25.9596,1915,May
29.9767,1915,Jun
29.956,1915,Jul
29.8656,1915,Aug
27.4413,1915,Sep
25.3798,1915,Oct
20.2187,1915,Nov
16.3963,1915,Dec
12.1339,1916,Jan
15.7943,1916,Feb
20.2766,1916,Mar
23.1062,1916,Apr
27.4114,1916,May
30.9537,1916,Jun
30.5446,1916,Jul
29.1228,1916,Aug
26.8543,1916,Sep
23.2308,1916,Oct
21.354,1916,Nov
16.5073,1916,Dec
14.3534,1917,Jan
15.5471,1917,Feb
19.2944,1917,Mar
23.2419,1917,Apr
24.5919,1917,May
27.9028,1917,Jun
29.022,1917,Jul
29.3867,1917,Aug
26.6273,1917,Sep
23.4698,1917,Oct
21.9519,1917,Nov
14.364,1917,Dec
12.2712,1918,Jan
13.8778,1918,Feb
17.5226,1918,Mar
22.0737,1918,Apr
26.0325,1918,May
28.4663,1918,Jun
30.1152,1918,Jul
28.7009,1918,Aug
27.7229,1918,Sep
26.3497,1918,Oct
21.0157,1918,Nov
14.8767,1918,Dec
15.187,1919,Jan
16.9651,1919,Feb
20.2524,1919,Mar
22.2233,1919,Apr
24.8734,1919,May
27.5596,1919,Jun
29.5291,1919,Jul
28.4846,1919,Aug
27.7836,1919,Sep
26.0829,1919,Oct
20.7541,1919,Nov
14.1711,1919,Dec
12.9205,1920,Jan
12.2139,1920,Feb
17.1925,1920,Mar
23.061,1920,Apr
25.5166,1920,May
28.6373,1920,Jun
29.0588,1920,Jul
30.3565,1920,Aug
26.9078,1920,Sep
24.6311,1920,Oct
18.5656,1920,Nov
13.8969,1920,Dec
13.1043,1921,Jan
13.571,1921,Feb
15.9005,1921,Mar
23.3943,1921,Apr
25.7119,1921,May
28.5548,1921,Jun
30.0152,1921,Jul
30.5562,1921,Aug
26.4687,1921,Sep
23.9837,1921,Oct
18.9789,1921,Nov
14.8279,1921,Dec
13.5054,1922,Jan
15.1096,1922,Feb
18.2953,1922,Mar
22.9464,1922,Apr
25.8393,1922,May
28.4772,1922,Jun
29.4629,1922,Jul
29.3174,1922,Aug
27.8471,1922,Sep
25.9675,1922,Oct
21.1985,1922,Nov
13.5786,1922,Dec
14.47,1923,Jan
14.8138,1923,Feb
17.8405,1923,Mar
21.6075,1923,Apr
26.2551,1923,May
30.153,1923,Jun
28.7355,1923,Jul
29.0706,1923,Aug
27.6002,1923,Sep
24.2704,1923,Oct
20.2985,1923,Nov
15.1824,1923,Dec
12.8137,1924,Jan
16.2022,1924,Feb
19.0105,1924,Mar
23.5904,1924,Apr
25.3474,1924,May
29.5458,1924,Jun
29.8491,1924,Jul
29.5682,1924,Aug
27.9014,1924,Sep
24.1924,1924,Oct
18.4865,1924,Nov
14.4021,1924,Dec
10.6468,1925,Jan
13.8724,1925,Feb
19.9568,1925,Mar
21.6645,1925,Apr
26.5618,1925,May
28.5171,1925,Jun
